Feature,Importance
packet.length,0.2231988662751235
srcport,0.1549618924474127
header_payload_ratio,0.10430065143330675
byte.count,0.09561891074951982
packet.rate,0.07003951362673126
flags,0.06897148487183062
ip.proto,0.049878694307523966
src_dst_port_diversity,0.046053457513936996
port_scan_density,0.040571914253152916
memcached.packet.rate,0.03551088781892194
src_port_entropy,0.023140545810401637
window.unique.dst.ports,0.023132584665248968
connection_count,0.022431030364618357
dst_port_entropy,0.01678505687580474
ports_per_packet_ratio,0.014605284596629893
syn_ratio,0.010799224389835903
